filePath,pointSize,styleItemName,styleItemCategory,styleItemTags,notes
{Symbols_Root}\Appendices\Land\mod1\10691.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Video Imagery (Combat Camera),Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Video Imagery (Combat Camera);Appendices\Land\mod1\10691.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Video Imagery (Combat Camera);10691,
{Symbols_Root}\Appendices\Land\mod1\10701.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Accident,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Accident;Appendices\Land\mod1\10701.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Accident;10701,
{Symbols_Root}\Appendices\Land\mod1\10711.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Other,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Other;Appendices\Land\mod1\10711.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Other;10711,
{Symbols_Root}\Appendices\Land\mod1\10721.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Civilian,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Civilian;Appendices\Land\mod1\10721.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Civilian;10721,
{Symbols_Root}\Appendices\Land\mod1\10731.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Antisubmarine Warfare,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Antisubmarine Warfare;Appendices\Land\mod1\10731.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Antisubmarine Warfare;10731,
{Symbols_Root}\Appendices\Land\mod1\10741.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Medevac,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Medevac;Appendices\Land\mod1\10741.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Medevac;10741,
{Symbols_Root}\Appendices\Land\mod1\10751.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Ranger,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Ranger;Appendices\Land\mod1\10751.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Ranger;10751,
{Symbols_Root}\Appendices\Land\mod1\10761.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Support,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Support;Appendices\Land\mod1\10761.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Support;10761,
{Symbols_Root}\Appendices\Land\mod1\10771.svg,32,Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Aviation,Land Unit : Modifier 1,Land Unit;Modifier 1;{TODO_SET_CATEGORY};Aviation;Appendices\Land\mod1\10771.svg;Land Unit : Modifier 1 : {TODO_SET_CATEGORY} : Aviation;10771,
{Symbols_Root}\Appendices\Land\mod2\10002.svg,32,Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Airborne,Land Unit : Modifier 2,Land Unit;Modifier 2;{TODO_SET_CATEGORY};Airborne;Appendices\Land\mod2\10002.svg;Land Unit : Modifier 2 : {TODO_SET_CATEGORY} : Airborne;10002,
