# Generated from: https://github.com/Esri/military-features-data/tree/master/data/mil2525c
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt

ATAC N,GNGPGPUYT-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Neutral; ATAC; Under Sea Warfare; Sonobuoy; GNGPGPUYT-----X
ATAC U,GUGPGPUYT-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Unknown; ATAC; Under Sea Warfare; Sonobuoy; GUGPGPUYT-----X
Aviation Tower High F,GFMPOHTH--****X,C2 Military Operations.style,Obstacles,P,Appendix B; Mobility Survivability;  Obstacles; Friendly; Aviation Tower High; GFMPOHTH--****X
Aviation Tower Low F,GFMPOHTL--****X,C2 Military Operations.style,Obstacles,P,Appendix B; Mobility Survivability;  Obstacles; Friendly; Aviation Tower Low; GFMPOHTL--****X
Bathythermograph Transmitting (BT) F,GFGPGPUYB-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Friendly; Bathythermograph Transmitting; Under Sea Warfare; Sonobuoy; Bt; GFGPGPUYB-----X 
Bathythermograph Transmitting (BT) H,GHGPGPUYB-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Hostile; Bathythermograph Transmitting; Under Sea Warfare; Sonobuoy; Bt; GHGPGPUYB-----X 
Bathythermograph Transmitting (BT) N,GNGPGPUYB-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Neutral; Bathythermograph Transmitting; Under Sea Warfare; Sonobuoy; Bt; GNGPGPUYB-----X 
Bathythermograph Transmitting (BT) U,GUGPGPUYB-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Unknown; Bathythermograph Transmitting; Under Sea Warfare; Sonobuoy; Bt; GUGPGPUYB-----X 
Biological F,GFMPNEB-------X,C2 Military Operations.style,NBC,P,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Friendly; Release Events; GFMPNEB-------X
Biological H,GHMPNEB-------X,C2 Military Operations.style,NBC,P,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Hostile; Release Events; GHMPNEB-------X
Biological N,GNMPNEB-------X,C2 Military Operations.style,NBC,P,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Neutral; Release Events; GNMPNEB-------X
Biological U,GUMPNEB-------X,C2 Military Operations.style,NBC,P,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Unknown; Release Events; GUMPNEB-------X
Booby Trap F,GFMPOB----****X,C2 Military Operations.style,Obstacles,P,Appendix B; Mobility Survivability; Obstacles; Friendly; Booby Trap; GFMPOB----****X
Bottom Return Non-milco F,GFOPSB----****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Friendly; Sea Subsurface Returns; Bottom Return Non-milco; GFOPSB----****X
Bottom Return Non-milco H,GHOPSB----****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Hostile; Sea Subsurface Returns; Bottom Return Non-milco; GHOPSB----****X
Bottom Return Non-milco Installation Manmade F,GFOPSBM---****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Friendly; Sea Subsurface Returns; Bottom Return Non-milco Installation Manmade; GFOPSBM---****X
Bottom Return Non-milco Installation Manmade H,GHOPSBM---****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Hostile; Sea Subsurface Returns; Bottom Return Non-milco Installation Manmade; GHOPSBM---****X
Bottom Return Non-milco Installation Manmade N,GNOPSBM---****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Neutral; Sea Subsurface Returns; Bottom Return Non-milco Installation Manmade; GNOPSBM---****X
Bottom Return Non-milco Installation Manmade U,GUOPSBM---****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Unknown; Sea Subsurface Returns; Bottom Return Non-milco Installation Manmade; GUOPSBM---****X
Bottom Return Non-milco N,GNOPSB----****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Neutral; Sea Subsurface Returns; Bottom Return Non-milco; GNOPSB----****X
Bottom Return Non-milco Seabed Rock Stone Obstacle Other F,GFOPSBN---****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Friendly; Sea Subsurface Returns; Bottom Return Non-milco Seabed Rock Stone Obstacle Other; GFOPSBN---****X
Bottom Return Non-milco Seabed Rock Stone Obstacle Other H,GHOPSBN---****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Hostile; Sea Subsurface Returns; Bottom Return Non-milco Seabed Rock Stone Obstacle Other; GHOPSBN---****X
Bottom Return Non-milco Seabed Rock Stone Obstacle Other N,GNOPSBN---****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Neutral; Sea Subsurface Returns; Bottom Return Non-milco Seabed Rock Stone Obstacle Other; GNOPSBN---****X
Bottom Return Non-milco Seabed Rock Stone Obstacle Other U,GUOPSBN---****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Unknown; Sea Subsurface Returns; Bottom Return Non-milco Seabed Rock Stone Obstacle Other; GUOPSBN---****X
Bottom Return Non-milco U,GUOPSB----****X,C2 Military Operations.style,Other,P,Appendix B; Other;  Unknown; Sea Subsurface Returns; Bottom Return Non-milco; GUOPSB----****X
Brief Contact F,GFGPGPUUB-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Friendly; Under Sea Warfare; Underwater; Brief Contact; GFGPGPUUB-----X
Brief Contact H,GHGPGPUUB-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Hostile; Under Sea Warfare; Underwater; Brief Contact; GHGPGPUUB-----X
Brief Contact N,GNGPGPUUB-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Neutral; Under Sea Warfare; Underwater; Brief Contact; GNGPGPUUB-----X
Brief Contact U,GUGPGPUUB-----X,C2 Military Operations.style,Sea Subsurface,P,Appendix B; Command and Control and General Maneuver; General; Unknown; Under Sea Warfare; Underwater; Brief Contact; GUGPGPUUB-----X
Cannibalization Point F,GFSPPC--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Friendly; Cannibalization Point; CAN; GFSPPC--------X
Cannibalization Point H,GHSPPC--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Hostile; Cannibalization Point; CAN; GHSPPC--------X
Cannibalization Point N,GNSPPC--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Neutral; Cannibalization Point; CAN; GNSPPC--------X
Cannibalization Point U,GUSPPC--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Unknown; Cannibalization Point; CAN; GUSPPC--------X
Casualty Collection Point F,GFSPPY--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Friendly; Casualty Collection Point; CCP; GFSPPY--------X
Casualty Collection Point H,GHSPPY--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Hostile; Casualty Collection Point; CCP; GHSPPY--------X
Casualty Collection Point N,GNSPPY--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Neutral; Casualty Collection Point; CCP; GNSPPY--------X
Casualty Collection Point U,GUSPPY--------X,C2 Military Operations.style,Combat Service Support,P,Appendix B; Combat Service Support; Unknown; Casualty Collection Point; CCP; GUSPPY--------X
CBRN Observation Post (Dismounted) F,GFGPDPON------X,C2 Military Operations.style,Defense,P,Appendix B; Command And Control And General Maneuver;  Defense; Friendly; Observation Post Outpost; CBRN Observation Post ;  Dismounted; GFgpdpon------x
CBRN Observation Post (Dismounted) H,GHGPDPON------X,C2 Military Operations.style,Defense,P,Appendix B; Command And Control And General Maneuver;  Defense; Hostile; Observation Post Outpost; CBRN Observation Post ;  Dismounted; GHgpdpon------x
CBRN Observation Post (Dismounted) N,GNGPDPON------X,C2 Military Operations.style,Defense,P,Appendix B; Command And Control And General Maneuver;  Defense; Neutral; Observation Post Outpost; CBRN Observation Post ;  Dismounted; GNgpdpon------x
CBRN Observation Post (Dismounted) U,GUGPDPON------X,C2 Military Operations.style,Defense,P,Appendix B; Command And Control And General Maneuver;  Defense; Unknown; Observation Post Outpost; CBRN Observation Post ;  Dismounted; GUgpdpon------x
Check Point F,GFGPGPPK------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Action Points; Friendly; Check Point; GFGPGPPK------X
Check Point H,GHGPGPPK------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Action Points; Hostile; Check Point; GHGPGPPK------X
Check Point N,GNGPGPPK------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Action Points; Neutral; Check Point; GNGPGPPK------X
Check Point U,GUGPGPPK------X,C2 Military Operations.style,Action Points,P,Appendix B; Command and Control and General Maneuver; General; Action Points; Unknown; Check Point; GUGPGPPK------X
Chemical F,GFMPNEC-------X,C2 Military Operations.style,NBC,P,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Friendly; Release Events; GFMPNEC-------X
