# Source File: https://github.com/Esri/military-features-data/blob/master/test/TestReproData/Mil-2525C-Wildcards.csv
# License: Apache V2: https://github.com/Esri/military-features-data/blob/master/license.txt
# Full SIDC,SIDC By Parts,Hierarchy Code,Name,Geometry
S*A*MHJ--------,S * A * MH J- -- ** ** *,WAR.AIRTRK.MIL.ROT.ECM,Electronic Countermeasures (Ecm/Jammer),
S*A*MHO--------,S * A * MH O- -- ** ** *,WAR.AIRTRK.MIL.ROT.MEDV,Medevac,
S*A*MHI--------,S * A * MH I- -- ** ** *,WAR.AIRTRK.MIL.ROT.MNECM,Mine Countermeasures,
S*A*MHR--------,S * A * MH R- -- ** ** *,WAR.AIRTRK.MIL.ROT.RECON,Reconnaissance,
S*A*MHM--------,S * A * MH M- -- ** ** *,WAR.AIRTRK.MIL.ROT.SOF,Special Operations Forces (Sof),
S*A*MHT--------,S * A * MH T- -- ** ** *,WAR.AIRTRK.MIL.ROT.TNE,Trainer,
S*A*MHK--------,S * A * MH K- -- ** ** *,WAR.AIRTRK.MIL.ROT.TNK,Tanker,
S*A*MHU--------,S * A * MH U- -- ** ** *,WAR.AIRTRK.MIL.ROT.UTY,Utility,
S*A*MHUH-------,S * A * MH UH -- ** ** *,WAR.AIRTRK.MIL.ROT.UTY.HVY,Utility (Heavy),
S*A*MHUL-------,S * A * MH UL -- ** ** *,WAR.AIRTRK.MIL.ROT.UTY.LIT,Utility (Light),
S*A*MHUM-------,S * A * MH UM -- ** ** *,WAR.AIRTRK.MIL.ROT.UTY.MDM,Utility (Medium),
S*A*MV---------,S * A * MV -- -- ** ** *,WAR.AIRTRK.MIL.VIP,Very Important Person (Vip),
S*A*W----------,S * A * W- -- -- ** ** *,WAR.AIRTRK.WPN,Weapon,
S*A*WB---------,S * A * WB -- -- ** ** *,WAR.AIRTRK.WPN.BM,Bomb,
S*A*WD---------,S * A * WD -- -- ** ** *,WAR.AIRTRK.WPN.DCY,Decoy,
S*A*WM---------,S * A * WM -- -- ** ** *,WAR.AIRTRK.WPN.MSLIF,Missile In Flight,
S*A*WMA--------,S * A * WM A- -- ** ** *,WAR.AIRTRK.WPN.MSLIF.ALM,Air Launched Missile,
S*A*WMAA-------,S * A * WM AA -- ** ** *,WAR.AIRTRK.WPN.MSLIF.ALM.AAM,Air-To-Air Missile (Aam),
S*A*WMAS-------,S * A * WM AS -- ** ** *,WAR.AIRTRK.WPN.MSLIF.ALM.ASM,Air-To-Surface Missile (Asm),
S*A*WMAP-------,S * A * WM AP -- ** ** *,WAR.AIRTRK.WPN.MSLIF.ALM.ASPC,Air-To-Space Missile,
S*A*WMB--------,S * A * WM B- -- ** ** *,WAR.AIRTRK.WPN.MSLIF.BLST,Ballistic Missile,
S*A*WMCM-------,S * A * WM CM -- ** ** *,WAR.AIRTRK.WPN.MSLIF.CM,Cruise Missile,
S*A*WMU--------,S * A * WM U- -- ** ** *,WAR.AIRTRK.WPN.MSLIF.SBSM,Subsurface-To-Surface Missile (S/Ssm),
S*A*WMS--------,S * A * WM S- -- ** ** *,WAR.AIRTRK.WPN.MSLIF.SLM,Surface Launched Missile,
S*A*WMSB-------,S * A * WM SB -- ** ** *,WAR.AIRTRK.WPN.MSLIF.SLM.ABM,Antiballistic Missile (Abm),
S*A*WMSA-------,S * A * WM SA -- ** ** *,WAR.AIRTRK.WPN.MSLIF.SLM.SAM,Surface-To-Air Missile (Sam),
S*A*WMSS-------,S * A * WM SS -- ** ** *,WAR.AIRTRK.WPN.MSLIF.SLM.SSM,Surface-To-Surface Missile (Ssm),
S*A*WMSU-------,S * A * WM SU -- ** ** *,WAR.AIRTRK.WPN.MSLIF.SLM.SSUM,Surface-To-Subsurface Missile,
S*G*-----------,S * G * -- -- -- ** ** *,WAR.GRDTRK,Ground Track,
